date,tmax,tmin
2011-01-01,23.45942077636721,15.50501403808596
2011-01-02,23.809976196289085,16.00946960449221
2011-01-03,24.80616149902346,15.24054870605471
2011-01-04,23.933831787109398,16.296655273437523
2011-01-05,21.78467712402346,14.964807128906273
2011-01-06,21.03650817871096,12.679116821289085
2011-01-07,19.419824218750023,12.24677429199221
2011-01-08,20.343896484375023,11.129571533203148
2011-01-09,20.898538208007835,13.06226501464846
2011-01-10,22.99079284667971,12.544519042968773
2011-01-11,22.57386169433596,14.58826599121096
2011-01-12,23.161599731445335,13.321801757812523
2011-01-13,23.114984130859398,11.45075378417971
2011-01-14,23.421472167968773,14.609216308593773
2011-01-15,21.710366821289085,16.172723388671898
2011-01-16,21.48407897949221,15.301019287109398
2011-01-17,22.977319335937523,15.75440368652346
2011-01-18,19.982217407226585,15.421105957031273
2011-01-19,23.767251586914085,15.775231933593773
2011-01-20,25.40955505371096,15.651330566406273
2011-01-21,23.370584106445335,17.030725097656273
2011-01-22,23.404153442382835,16.58918151855471
2011-01-23,23.080926513671898,15.881814575195335
2011-01-24,23.784204101562523,16.11969909667971
2011-01-25,22.156488037109398,16.423455810546898
2011-01-26,23.499291992187523,15.989770507812523
2011-01-27,23.845620727539085,12.680093383789085
2011-01-28,23.860162353515648,12.748193359375023
2011-01-29,24.719598388671898,12.733682250976585
2011-01-30,25.573205566406273,11.80396423339846
2011-01-31,24.10517272949221,13.199868774414085
2011-02-01,22.302453613281273,13.746087646484398
2011-02-02,22.217507934570335,13.72590026855471
2011-02-03,22.284600830078148,13.807412719726585
2011-02-04,21.213800048828148,12.899407958984398
2011-02-05,21.86091003417971,12.624841308593773
2011-02-06,22.622613525390648,14.195901489257835
2011-02-07,24.391564941406273,13.839196777343773
2011-02-08,24.109735107421898,15.010430908203148
2011-02-09,24.125466918945335,14.97724304199221
2011-02-10,25.00007019042971,14.158441162109398
2011-02-11,25.404702758789085,13.113580322265648
2011-02-12,26.643579101562523,15.748254394531273
2011-02-13,26.236108398437523,16.804101562500023
2011-02-14,25.565469360351585,15.33045349121096
2011-02-15,23.823327636718773,13.794183349609398
2011-02-16,24.098657226562523,13.590295410156273
2011-02-17,23.37824401855471,14.410333251953148
2011-02-18,20.74891052246096,14.58374938964846
2011-02-19,22.435815429687523,13.76435241699221
2011-02-20,23.720498657226585,12.524896240234398
2011-02-21,23.104348754882835,14.824975585937523
2011-02-22,24.070550537109398,14.684197998046898
2011-02-23,22.925347900390648,14.141168212890648
2011-02-24,22.54340515136721,13.909280395507835
2011-02-25,21.560952758789085,13.075494384765648
2011-02-26,20.929360961914085,11.67963562011721
2011-02-27,21.558755493164085,11.242028808593773
2011-02-28,24.272698974609398,12.252648925781273
2011-03-01,23.470620727539085,13.475320434570335
2011-03-02,23.113916015625023,11.681481933593773
2011-03-03,25.98096618652346,12.623025512695335
2011-03-04,24.422265625000023,15.50257263183596
2011-03-05,23.987878417968773,14.070733642578148
2011-03-06,23.424966430664085,11.924111938476585
2011-03-07,25.318902587890648,10.830743408203148
2011-03-08,25.082788085937523,13.691918945312523
2011-03-09,25.447442626953148,11.79834899902346
2011-03-10,25.688928222656273,16.229211425781273
2011-03-11,26.079919433593773,14.84192810058596
2011-03-12,26.892007446289085,15.17164001464846
2011-03-13,27.02033386230471,15.551675415039085
2011-03-14,21.342431640625023,15.648797607421898
2011-03-15,23.611016845703148,15.243371582031273
2011-03-16,21.564874267578148,15.530191040039085
2011-03-17,22.465325927734398,15.47132263183596
2011-03-18,23.101068115234398,14.485330200195335
2011-03-19,19.803277587890648,13.754983520507835
2011-03-20,22.11908874511721,13.680505371093773
2011-03-21,22.571694946289085,13.653680419921898
2011-03-22,23.12439880371096,13.055627441406273
2011-03-23,25.799066162109398,12.87684020996096
2011-03-24,25.68232116699221,13.113259887695335
2011-03-25,24.152490234375023,14.67987976074221
2011-03-26,22.620645141601585,14.697625732421898
2011-03-27,18.840753173828148,14.766351318359398
2011-03-28,22.296365356445335,14.521173095703148
2011-03-29,24.42554626464846,13.121209716796898
2011-03-30,25.72474060058596,12.96698913574221
2011-03-31,25.536660766601585,13.871331787109398
2011-04-01,25.71674499511721,14.822488403320335
2011-04-02,21.083093261718773,12.79779968261721
2011-04-03,24.216546630859398,14.21564636230471
2011-04-04,22.977700805664085,12.958459472656273
2011-04-05,17.662377929687523,12.95441589355471
2011-04-06,14.264215087890648,11.514443969726585
2011-04-07,20.789697265625023,10.920190429687523
2011-04-08,19.48462829589846,10.916040039062523
2011-04-09,20.219598388671898,9.05506286621096
2011-04-10,20.969277954101585,8.653344726562523
2011-04-11,20.202081298828148,8.542520141601585
2011-04-12,20.07776794433596,10.662438964843773
2011-04-13,19.934655761718773,10.19556579589846
2011-04-14,19.11493835449221,9.777215576171898
2011-04-15,19.279870605468773,9.497338867187523
2011-04-16,15.412591552734398,11.593225097656273
2011-04-17,16.41724548339846,10.24073181152346
2011-04-18,15.50989685058596,9.48822937011721
2011-04-19,17.516030883789085,7.55658874511721
2011-04-20,18.43110046386721,8.533380126953148
2011-04-21,16.684075927734398,8.560754394531273
2011-04-22,18.97632751464846,6.512506103515648
2011-04-23,15.574075317382835,10.81128845214846
2011-04-24,18.374749755859398,8.941583251953148
2011-04-25,20.156793212890648,8.61316833496096
2011-04-26,20.14014587402346,9.914590454101585
2011-04-27,16.69745788574221,3.4451538085937727
2011-04-28,16.134515380859398,1.2296234130859602
2011-04-29,16.89673767089846,2.5173431396484602
2011-04-30,18.421487426757835,9.528863525390648
2011-05-01,17.56696472167971,9.049462890625023
