date,precipitation,pressure,rh,tdew,tmax,tmin
1980-01-01,0.0003565192222545477,83436.91145833333,45.36604155448369,14.954124704996786,27.072106933593773,15.882302856445335
1980-01-02,0.00012504386523914945,83468.92268880208,33.732725060027505,12.385734812418661,29.178887939453148,16.974526977539085
1980-01-03,0.000983577397960289,83550.61002604167,34.03085374773157,12.268730417887411,28.90906677246096,16.277383422851585
1980-01-04,0.010638259895756619,83521.08170572917,39.94368680304124,13.107543563842796,27.18299255371096,16.323175048828148
1980-01-05,0.0019293548910468417,83378.92106119792,44.129462952355844,13.831838862101279,26.338784790039085,14.640954589843773
1980-01-06,0.0025120437144892094,83262.91048177083,44.45716575419023,13.248220062255882,25.60773620605471,14.53901062011721
1980-01-07,0.010348362612035089,83562.64143880208,60.060060385295586,13.788304265340173,21.438287353515648,12.635415649414085
1980-01-08,0.0019312053917701633,83821.03629557292,61.26851921592029,10.767442957560263,18.021585083007835,11.09418640136721
1980-01-09,0.0001905103121657703,83728.75797526042,43.39812783688497,10.025765355428064,22.607873535156273,10.235070800781273
1980-01-10,0.008373832702091022,83690.87060546875,44.66503771246884,12.871218617757165,25.137673950195335,11.166375732421898
1980-01-11,0.005289542674915992,83689.79475911458,51.732111752354484,13.736878331502282,23.71344909667971,13.26880798339846
1980-01-12,0.0014116689734464671,83550.2451171875,46.15438476667825,12.698794937133812,24.434564208984398,12.39887390136721
1980-01-13,0.001829686760174809,83710.63069661458,43.368248343354,13.051998392740927,25.798852539062523,13.541741943359398
1980-01-14,0.009507131574537198,83976.8662109375,50.93160565240292,14.085976537068689,24.32239685058596,12.469384765625023
1980-01-15,0.010358500480549537,84027.02115885417,56.25661964878358,15.084073003133142,23.794183349609398,14.148049926757835
1980-01-16,0.0020501032553852383,83910.85660807292,52.68438155744687,15.314080174764001,25.064691162109398,13.502984619140648
1980-01-17,0.0006437907417193856,83867.57145182292,46.152081239105456,12.839872614542685,24.583047485351585,14.350869750976585
1980-01-18,4.68194474478878e-06,83811.08870442708,40.74574413560571,10.516095097859704,24.127786254882835,12.139672851562523
1980-01-19,0.0008076778722170275,83856.40185546875,43.67069400158683,12.068714396158896,24.654641723632835,11.653863525390648
1980-01-20,0.004300683736687461,83879.10888671875,48.55917753192563,13.519795989990257,24.486810302734398,15.270776367187523
1980-01-21,0.0032416343688623783,83706.57014973958,49.28913069352097,14.235311762491904,24.996697998046898,13.399636840820335
1980-01-22,0.020372137427330017,83600.20914713542,51.565686950202696,15.3759647369385,25.468621826171898,14.089624023437523
1980-01-23,0.07272217571733108,83566.70556640625,89.56181293266873,14.80568339029952,16.427880859375023,13.217004394531273
1980-01-24,0.01649669706819168,83605.72184244792,68.87334005233848,14.707267379760765,20.277627563476585,13.532861328125023
1980-01-25,0.01512530434126802,83717.54850260417,63.39124684610433,13.760916010538779,20.578210449218773,12.810708618164085
1980-01-26,0.0013606160873678164,83813.8173828125,50.61697604229417,12.113625462849939,22.366967773437523,11.018533325195335
1980-01-27,0.0018627941607292087,83723.49869791667,53.803570516112366,12.770110066731775,22.094277954101585,11.337670898437523
1980-01-28,0.0010102540254592896,83466.005859375,45.81771794805543,13.390520350138388,25.275415039062523,12.05780944824221
1980-01-29,0.003063008189201355,83386.20833333333,49.00090948884208,13.644417063395224,24.47339782714846,14.28821716308596
1980-01-30,0.002074119929943663,83510.826171875,61.136007085268886,13.938321050008142,21.318460083007835,13.328637695312523
1980-01-31,0.0006953805746547914,83669.54329427083,57.980188935269474,14.093818918863974,22.299829101562523,12.940957641601585
1980-02-01,0.0019895315169264904,83737.82731119792,54.32967608673681,13.888185119628929,23.101556396484398,12.67676696777346
1980-02-02,0.0052876204251788295,83841.55436197917,51.227244898270804,13.758897399902366,23.890786743164085,13.142083740234398
1980-02-03,0.007057130336761475,83918.55354817708,58.33579275666777,13.739940261840843,21.839532470703148,12.951745605468773
1980-02-04,0.007902625203030311,83863.853515625,56.239101249048815,13.31850077311202,21.972619628906273,11.982263183593773
1980-02-05,7.544488425992313e-05,83821.59635416667,45.45595069283873,11.030861790974939,22.929360961914085,12.006326293945335
1980-02-06,0.0009953843022003639,83612.53271484375,48.81222006325002,12.469496663411462,23.308679199218773,10.80933532714846
1980-02-07,0.00862840867119985,83460.49886067708,56.89317317817072,13.417602157592796,21.89533386230471,12.920312500000023
1980-02-08,0.0012604236602733465,83368.87369791667,46.568712403808746,13.299368794759118,24.921014404296898,12.47046813964846
1980-02-09,0.007029512524525217,83391.63802083333,59.71900425613077,14.055794016520224,21.802087402343773,14.672906494140648
1980-02-10,0.0024942278861885825,83436.91813151042,65.3847674837157,16.142260487874353,22.54486999511721,14.972039794921898
1980-02-11,0.0032843887805142913,83602.17513020833,54.29099286728789,15.877123133341513,25.17456970214846,14.787957763671898
1980-02-12,0.010422593355087884,83835.03255208333,56.22511738532177,16.301320012410486,25.062188720703148,14.266992187500023
1980-02-13,0.003384690929692624,83835.67903645833,56.147166136166526,15.860902404785179,24.628381347656273,15.808923339843773
1980-02-14,0.0007772242531700613,83826.30517578125,50.25936228824589,15.21192321777346,25.705010986328148,14.632302856445335
1980-02-15,0.0030870199202581716,83830.83186848958,58.523369520180225,16.58723157246908,24.728189086914085,15.769311523437523
1980-02-16,0.009900252370073304,83851.46044921875,55.45848319585372,16.333886718750023,25.312173461914085,14.984918212890648
1980-02-17,0.014236876180461877,83934.740234375,62.153434734486844,16.746491368611657,23.951593017578148,15.651467895507835
1980-02-18,0.017568188905613624,83923.43131510417,81.52922918098679,16.08435974121096,19.121133422851585,14.920861816406273
