date,tmax,tmin
1980-01-01,27.072106933593773,15.882302856445335
1980-01-02,29.178887939453148,16.974526977539085
1980-01-03,28.90906677246096,16.277383422851585
1980-01-04,27.18299255371096,16.323175048828148
1980-01-05,26.338784790039085,14.640954589843773
1980-01-06,25.60773620605471,14.53901062011721
1980-01-07,21.438287353515648,12.635415649414085
1980-01-08,18.021585083007835,11.09418640136721
1980-01-09,22.607873535156273,10.235070800781273
1980-01-10,25.137673950195335,11.166375732421898
1980-01-11,23.71344909667971,13.26880798339846
1980-01-12,24.434564208984398,12.39887390136721
1980-01-13,25.798852539062523,13.541741943359398
1980-01-14,24.32239685058596,12.469384765625023
1980-01-15,23.794183349609398,14.148049926757835
1980-01-16,25.064691162109398,13.502984619140648
1980-01-17,24.583047485351585,14.350869750976585
1980-01-18,24.127786254882835,12.139672851562523
1980-01-19,24.654641723632835,11.653863525390648
1980-01-20,24.486810302734398,15.270776367187523
1980-01-21,24.996697998046898,13.399636840820335
1980-01-22,25.468621826171898,14.089624023437523
1980-01-23,16.427880859375023,13.217004394531273
1980-01-24,20.277627563476585,13.532861328125023
1980-01-25,20.578210449218773,12.810708618164085
1980-01-26,22.366967773437523,11.018533325195335
1980-01-27,22.094277954101585,11.337670898437523
1980-01-28,25.275415039062523,12.05780944824221
1980-01-29,24.47339782714846,14.28821716308596
1980-01-30,21.318460083007835,13.328637695312523
1980-01-31,22.299829101562523,12.940957641601585
1980-02-01,23.101556396484398,12.67676696777346
1980-02-02,23.890786743164085,13.142083740234398
1980-02-03,21.839532470703148,12.951745605468773
1980-02-04,21.972619628906273,11.982263183593773
1980-02-05,22.929360961914085,12.006326293945335
1980-02-06,23.308679199218773,10.80933532714846
1980-02-07,21.89533386230471,12.920312500000023
1980-02-08,24.921014404296898,12.47046813964846
1980-02-09,21.802087402343773,14.672906494140648
1980-02-10,22.54486999511721,14.972039794921898
1980-02-11,25.17456970214846,14.787957763671898
1980-02-12,25.062188720703148,14.266992187500023
1980-02-13,24.628381347656273,15.808923339843773
1980-02-14,25.705010986328148,14.632302856445335
1980-02-15,24.728189086914085,15.769311523437523
1980-02-16,25.312173461914085,14.984918212890648
1980-02-17,23.951593017578148,15.651467895507835
1980-02-18,19.121133422851585,14.920861816406273
1980-02-19,22.308145141601585,13.899377441406273
1980-02-20,21.697961425781273,13.125634765625023
1980-02-21,23.467889404296898,12.409661865234398
1980-02-22,21.95447692871096,13.857507324218773
1980-02-23,23.00324401855471,13.43403015136721
1980-02-24,23.965249633789085,14.629922485351585
1980-02-25,24.489739990234398,14.218789672851585
1980-02-26,23.013879394531273,15.401055908203148
1980-02-27,23.347268676757835,15.40778503417971
1980-02-28,23.202203369140648,14.62024841308596
1980-02-29,22.844903564453148,14.634118652343773
1980-03-01,22.92579040527346,12.735620117187523
1980-03-02,23.034906005859398,14.894464111328148
1980-03-03,22.816217041015648,15.88550720214846
1980-03-04,24.91285095214846,13.621682739257835
1980-03-05,23.695474243164085,10.63764343261721
1980-03-06,23.98700866699221,10.348168945312523
1980-03-07,24.378472900390648,10.561318969726585
1980-03-08,25.792718505859398,12.29010925292971
1980-03-09,23.800531005859398,12.915811157226585
1980-03-10,23.641656494140648,14.31891784667971
1980-03-11,20.89075622558596,14.245751953125023
1980-03-12,20.781884765625023,12.507424926757835
1980-03-13,19.508050537109398,11.594644165039085
1980-03-14,20.523797607421898,10.95014343261721
1980-03-15,22.173974609375023,13.787026977539085
1980-03-16,21.82789001464846,12.69599304199221
1980-03-17,21.368371582031273,12.953713989257835
1980-03-18,22.706887817382835,11.887445068359398
1980-03-19,21.76435241699221,12.484902954101585
1980-03-20,22.543435668945335,12.604974365234398
1980-03-21,21.204278564453148,11.322122192382835
1980-03-22,22.221124267578148,13.78565368652346
1980-03-23,23.133538818359398,12.178002929687523
1980-03-24,21.637048339843773,10.732949829101585
1980-03-25,22.406671142578148,10.799432373046898
1980-03-26,24.34296569824221,13.55555114746096
1980-03-27,25.295205688476585,12.577188110351585
1980-03-28,24.852380371093773,11.388711547851585
1980-03-29,25.396112060546898,10.38526306152346
1980-03-30,22.347924804687523,11.810113525390648
1980-03-31,23.052331542968773,9.102578735351585
1980-04-01,24.01093444824221,8.859979248046898
1980-04-02,23.355493164062523,9.993127441406273
1980-04-03,23.21943054199221,9.805780029296898
1980-04-04,24.255914306640648,10.165460205078148
1980-04-05,24.782083129882835,12.063714599609398
1980-04-06,25.079873657226585,13.41559753417971
1980-04-07,23.36652526855471,13.191278076171898
1980-04-08,22.29352722167971,11.193078613281273
1980-04-09,21.859246826171898,10.844506835937523
1980-04-10,20.562417602539085,11.590859985351585
1980-04-11,19.915017700195335,10.787500000000023
1980-04-12,17.80957946777346,9.918023681640648
1980-04-13,18.467950439453148,8.522256469726585
1980-04-14,21.464929199218773,8.772363281250023
1980-04-15,22.441339111328148,7.52912292480471
1980-04-16,23.520349121093773,9.987405395507835
1980-04-17,18.34937438964846,7.040078735351585
1980-04-18,16.923974609375023,3.0409484863281477
1980-04-19,19.969476318359398,4.427041625976585
1980-04-20,18.748941040039085,6.903298950195335
1980-04-21,20.79432067871096,9.135614013671898
1980-04-22,22.84736022949221,7.67572937011721
1980-04-23,20.733453369140648,6.479516601562523
1980-04-24,21.342980957031273,4.42963562011721
1980-04-25,20.674356079101585,6.218927001953148
1980-04-26,19.611413574218773,7.567834472656273
1980-04-27,20.662408447265648,7.381387329101585
1980-04-28,20.354638671875023,6.606347656250023
1980-04-29,21.168374633789085,8.149758911132835
1980-04-30,21.764016723632835,6.159753417968773
